Country,include/Exclude,ChannelID,,Name,Network,Type
US,X,"(KMTP) San Francisco, CA (32).us",,,Unknown,Unknown
US,,00s Replay.us,,,Unknown,Unknown
AU,i,10 / ATV.au,,,Unknown,Unknown
AU,,10 Comedy / M1S.au,,,Unknown,Unknown
AU,i,10 Comedy.au,,,Unknown,Unknown
AU,,10 Drama / OHM.au,,,Unknown,Unknown
AU,i,10 Drama.au,,,Unknown,Unknown
AU,X,10 HD / AVH.au,,,Unknown,Unknown
AU,i,10.au,,,Unknown,Unknown
AU,i,11.au,,,Unknown,Unknown
AU,,2010s V23.au,,,Unknown,Unknown
CA,,2M Maroc.ca,,,Unknown,Unknown
US,X,4 Decades of Music.us,,,Unknown,Unknown
UK,,40 Plus (Virgin).uk,,,Unknown,Unknown
UK,,40+.uk,,,Unknown,Unknown
US,,48 Hours.us,,,Unknown,Unknown
UK,X,4Music.uk,,,Unknown,Unknown
UK,x,4Seven HD.uk,Exact Match (HD/SD only),,Unknown,Unknown
UK,,4Seven.uk,,,Unknown,Unknown
UK,X,4SevenHD.uk,,,Unknown,Unknown
UK,,5 Action.uk,,,Unknown,Unknown
UK,X,5 Cops.uk,,,Unknown,Unknown
UK,x,5 HD.uk,Exact Match (HD/SD only),,Unknown,Unknown
UK,,5 Star +1.uk,,,Unknown,Unknown
US,,5 Star Max - Eastern (840).us,,,Unknown,Unknown
US,X,5 Star Max HD - Eastern (1840).us,,,Unknown,Unknown
US,,5 Star MAX.us,,,Unknown,Unknown
UK,,5 USA +1.uk,,,Unknown,Unknown
UK,,5 USA.uk,,,Unknown,Unknown
UK,,5*.uk,,,Unknown,Unknown
UK,,5.uk,,,Unknown,Unknown
UK,,5+1.uk,,,Unknown,Unknown
US,,50 Cent Action.us,,,Unknown,Unknown
UK,x,5ACTION HD.uk,Exact Match (HD/SD only),,Unknown,Unknown
UK,,5ACTION.uk,,,Unknown,Unknown
UK,,5SELECT.uk,,,Unknown,Unknown
UK,,5STAR +1.uk,,,Unknown,Unknown
UK,,5STAR.uk,,,Unknown,Unknown
UK,,5STAR+1.uk,,,Unknown,Unknown
UK,,5USA +1.uk,,,Unknown,Unknown
UK,,5USA.uk,,,Unknown,Unknown
UK,,5USA+1.uk,,,Unknown,Unknown
US,,60 Minutes.us,,,Unknown,Unknown
AU,,60s Hits V10.au,,,Unknown,Unknown
AU,i,7.au,,,Unknown,Unknown
US,,70s Cinema.us,,,Unknown,Unknown
US,,70s Hits.us,,,Unknown,Unknown
AU,i,7Bravo / 7BVV.au,,,Unknown,Unknown
AU,i,7Bravo.au,,,Unknown,Unknown
AU,i,7bravo.au,,,Unknown,Unknown
AU,,7flix / FLV.au,,,Unknown,Unknown
AU,i,7flix.au,,,Unknown,Unknown
AU,i,7flix.au,,,Unknown,Unknown
AU,X,7HD / DSM.au,,,Unknown,Unknown
AU,X,7HD.au,,,Unknown,Unknown
AU,X,7mate HD / MFNANZ.au,,,Unknown,Unknown
AU,i,7mate.au,,,Unknown,Unknown
AU,,7MATE.au,,,Unknown,Unknown
AU,i,7TWO / 7TWO.au,,,Unknown,Unknown
AU,i,7TWO.au,,,Unknown,Unknown
AU,i,7TWO.au,,,Unknown,Unknown
US,,80s Hits.us,,,Unknown,Unknown
US,,80s Rewind.us,,,Unknown,Unknown
AU,i,9.au,,,Unknown,Unknown
US,X,90s Kids TV 2.us,,,Unknown,Unknown
US,X,90s Kids.us,,,Unknown,Unknown
AU,X,90s Soft Pop / V20.au,,,Unknown,Unknown
AU,X,90s Soft Pop V20.au,,,Unknown,Unknown
US,,90s Throwback.us,,,Unknown,Unknown
AU,,9Gem / HNM.au,,,Unknown,Unknown
AU,X,9Gem HD / 9Gem HD.au,,,Unknown,Unknown
AU,,9Go! / GOV.au,,,Unknown,Unknown
AU,X,9HD / HM9.au,,,Unknown,Unknown
AU,X,9HD.au,,,Unknown,Unknown
AU,,9Life / LM9.au,,,Unknown,Unknown
AU,i,9Life.au,,,Unknown,Unknown
AU,i,9Life.au,,,Unknown,Unknown
AU,,9Rush / 9Rush.au,,,Unknown,Unknown
AU,,9Rush.au,,,Unknown,Unknown
UK,,A Message For Parents.uk,,,Unknown,Unknown
US,,A Wealth of Entertainment (147).us,,,Unknown,Unknown
US,X,A Wealth of Entertainment HDTV.us,,,Unknown,Unknown
US,,A Wealth of Entertainment.us,,,Unknown,Unknown
US,,AAG International.us,,,Unknown,Unknown
CA,,Aaj Tak.ca,,,Unknown,Unknown
UK,,AAJ TAK.uk,,,Unknown,Unknown
US,,AAJ TAK.us,,,Unknown,Unknown
US,X,AandE Canada HD (1132).us,,,Unknown,Unknown
